file,time_sec,activation,above_threshold
Distress_Event_3_024258_2MIN.wav,4.0,0.3132,0.0006
Distress_Event_3_024258_2MIN.wav,5.0,0.3151,0.0026
Distress_Event_3_024258_2MIN.wav,8.4,0.3131,0.0005
Distress_Event_3_024258_2MIN.wav,18.9,0.3153,0.0027
Distress_Event_3_024258_2MIN.wav,27.1,0.3147,0.0021
Distress_Event_3_024258_2MIN.wav,28.4,0.3127,1e-04
Distress_Event_3_024258_2MIN.wav,28.6,0.3141,0.0015
Distress_Event_3_024258_2MIN.wav,28.9,0.3126,1e-04
Distress_Event_3_024258_2MIN.wav,29.2,0.3127,0.0002
Distress_Event_3_024258_2MIN.wav,29.2,0.3148,0.0022
Distress_Event_3_024258_2MIN.wav,30.2,0.3129,0.0003
Distress_Event_3_024258_2MIN.wav,30.3,0.3126,0.0
Distress_Event_3_024258_2MIN.wav,30.4,0.3131,0.0006
Distress_Event_3_024258_2MIN.wav,32.3,0.3151,0.0025
Distress_Event_3_024258_2MIN.wav,32.4,0.315,0.0024
Distress_Event_3_024258_2MIN.wav,33.8,0.3138,0.0012
Distress_Event_3_024258_2MIN.wav,36.1,0.3138,0.0012
Distress_Event_3_024258_2MIN.wav,36.2,0.3162,0.0037
Distress_Event_3_024258_2MIN.wav,36.3,0.3133,0.0007
Distress_Event_3_024258_2MIN.wav,36.5,0.3137,0.0011
Distress_Event_3_024258_2MIN.wav,36.5,0.3137,0.0012
Distress_Event_3_024258_2MIN.wav,36.6,0.3128,0.0002
Distress_Event_3_024258_2MIN.wav,36.7,0.3129,0.0004
Distress_Event_3_024258_2MIN.wav,39.0,0.3141,0.0015
Distress_Event_3_024258_2MIN.wav,39.1,0.3147,0.0021
Distress_Event_3_024258_2MIN.wav,39.2,0.3148,0.0022
Distress_Event_3_024258_2MIN.wav,39.4,0.3166,0.004
Distress_Event_3_024258_2MIN.wav,39.8,0.3133,0.0008
Distress_Event_3_024258_2MIN.wav,39.8,0.3131,0.0005
Distress_Event_3_024258_2MIN.wav,39.9,0.3129,0.0003
Distress_Event_3_024258_2MIN.wav,40.1,0.3131,0.0005
Distress_Event_3_024258_2MIN.wav,40.3,0.3143,0.0017
Distress_Event_3_024258_2MIN.wav,40.9,0.3136,0.0011
Distress_Event_3_024258_2MIN.wav,40.9,0.3135,0.0009
Distress_Event_3_024258_2MIN.wav,41.3,0.3126,0.0
Distress_Event_3_024258_2MIN.wav,41.9,0.3128,0.0002
Distress_Event_3_024258_2MIN.wav,41.9,0.3131,0.0005
Distress_Event_3_024258_2MIN.wav,42.0,0.3173,0.0047
Distress_Event_3_024258_2MIN.wav,42.2,0.3151,0.0025
Distress_Event_3_024258_2MIN.wav,43.3,0.3171,0.0046
Distress_Event_3_024258_2MIN.wav,44.0,0.3148,0.0023
Distress_Event_3_024258_2MIN.wav,44.1,0.3139,0.0013
Distress_Event_3_024258_2MIN.wav,44.4,0.316,0.0035
Distress_Event_3_024258_2MIN.wav,44.6,0.3127,1e-04
Distress_Event_3_024258_2MIN.wav,44.8,0.3131,0.0006
Distress_Event_3_024258_2MIN.wav,45.0,0.3153,0.0027
Distress_Event_3_024258_2MIN.wav,46.5,0.3126,0.0
Distress_Event_3_024258_2MIN.wav,46.8,0.314,0.0014
Distress_Event_3_024258_2MIN.wav,47.0,0.3144,0.0018
Distress_Event_3_024258_2MIN.wav,48.0,0.3148,0.0022
Distress_Event_3_024258_2MIN.wav,50.0,0.3133,0.0007
Distress_Event_3_024258_2MIN.wav,51.0,0.3134,0.0008
Distress_Event_3_024258_2MIN.wav,55.6,0.313,0.0005
Distress_Event_3_024258_2MIN.wav,56.9,0.3144,0.0018
Distress_Event_3_024258_2MIN.wav,58.8,0.3131,0.0006
Distress_Event_3_024258_2MIN.wav,59.0,0.3149,0.0023
Distress_Event_3_024258_2MIN.wav,60.8,0.3139,0.0013
Distress_Event_3_024258_2MIN.wav,61.3,0.3135,0.0009
Distress_Event_3_024258_2MIN.wav,61.4,0.3134,0.0008
Distress_Event_3_024258_2MIN.wav,61.4,0.3159,0.0033
Distress_Event_3_024258_2MIN.wav,61.8,0.3142,0.0016
Distress_Event_3_024258_2MIN.wav,61.9,0.3133,0.0008
Distress_Event_3_024258_2MIN.wav,69.0,0.3129,0.0003
Distress_Event_3_024258_2MIN.wav,69.1,0.3142,0.0017
Distress_Event_3_024258_2MIN.wav,71.0,0.3127,1e-04
Distress_Event_3_024258_2MIN.wav,72.1,0.3129,0.0004
Distress_Event_3_024258_2MIN.wav,72.3,0.3132,0.0007
Distress_Event_3_024258_2MIN.wav,74.2,0.3177,0.0052
Distress_Event_3_024258_2MIN.wav,75.5,0.3127,0.0002
Distress_Event_3_024258_2MIN.wav,76.3,0.3134,0.0009
Distress_Event_3_024258_2MIN.wav,76.6,0.3171,0.0046
Distress_Event_3_024258_2MIN.wav,76.8,0.315,0.0024
Distress_Event_3_024258_2MIN.wav,77.9,0.3129,0.0004
Distress_Event_3_024258_2MIN.wav,78.7,0.3128,0.0002
Distress_Event_3_024258_2MIN.wav,82.7,0.3133,0.0007
Distress_Event_3_024258_2MIN.wav,83.2,0.3143,0.0017
Distress_Event_3_024258_2MIN.wav,85.3,0.3145,0.002
Distress_Event_3_024258_2MIN.wav,90.4,0.3134,0.0009
Distress_Event_3_024258_2MIN.wav,92.2,0.3134,0.0008
Distress_Event_3_024258_2MIN.wav,97.8,0.3127,0.0002
Distress_Event_3_024258_2MIN.wav,100.0,0.3128,0.0002
Distress_Event_3_024258_2MIN.wav,102.1,0.3131,0.0005
Distress_Event_3_024258_2MIN.wav,102.3,0.3156,0.0031
Distress_Event_3_024258_2MIN.wav,102.8,0.3132,0.0006
Distress_Event_3_024258_2MIN.wav,103.2,0.3138,0.0013
Distress_Event_3_024258_2MIN.wav,107.2,0.3132,0.0006
Distress_Event_3_024258_2MIN.wav,107.7,0.3143,0.0018
Distress_Event_3_024258_2MIN.wav,109.2,0.3139,0.0013
Distress_Event_3_024258_2MIN.wav,111.9,0.3134,0.0009
Distress_Event_3_024258_2MIN.wav,112.2,0.3143,0.0018
Distress_Event_3_024258_2MIN.wav,114.8,0.3144,0.0018
Distress_Event_3_024258_2MIN.wav,115.3,0.3153,0.0027
